"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
cshq5pr_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 5 was a problem",,,,,,,,,,,
cshq6_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 6:<br><br>Child needs special object to fall asleep (doll, special blanket, etc.) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 6",,,,,,,,,,,
cshq6pr_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 6 was a problem",,,,,,,,,,,
cshq7_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 7:<br><br>Child needs parent in the room to fall asleep (5) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 7",,,,,,,,,,,
cshq7pr_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 7 was a problem",,,,,,,,,,,
cshq8_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 8:<br><br>Child is ready to go to bed at bedtime <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 8",,,,,,,,,,,
cshq8pr_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 8 was a problem",,,,,,,,,,,
cshq9_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 9: <br><br>Child resists going to bed at bedtime <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 9",,,,,,,,,,,
cshq9pr_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 9 was a problem",,,,,,,,,,,
cshq10_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 10: <br><br>Child struggles at bedtime (cries, refuses to stay in bed, etc.) (6) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 10",,,,,,,,,,,
cshq10p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 10 was a problem",,,,,,,,,,,
cshq11_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 11:<br><br>Child is afraid of sleeping in the dark (7) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 11",,,,,,,,,,,
cshq11p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 11 was a problem",,,,,,,,,,,
cshq12_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 12: <br><br>Child is afraid of sleeping alone (8) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 12",,,,,,,,,,,
cshq12p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 12 was a problem",,,,,,,,,,,
cshqmin_b,childs_sleep_habits_questionnaire_cshq,"SLEEP BEHAVIOR",text,"Number of minutes the child sleeps per night",,"Combining nighttime sleep and naps - calculate minutes.",integer,,,,,,,,,,
cshq13_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 13:<br><br>Child sleeps too little (9) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 13",,,,,,,,,,,
cshq13p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 13 was a problem",,,,,,,,,,,
cshq14_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 14:<br><br>Child sleeps too much<br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 14",,,,,,,,,,,
cshq14p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 14 was a problem",,,,,,,,,,,
cshq15_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 15: <br><br>Child sleeps the right amount (R) (10) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 15",,,,,,,,,,,
cshq15p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 15 was a problem",,,,,,,,,,,
cshq16_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 16: <br><br>Child sleeps about the same amount each day (R) (11) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 16",,,,,,,,,,,
cshq16p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 16 was a problem",,,,,,,,,,,
cshq17_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 17: <br><br>Child wets the bed at night (12) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 17",,,,,,,,,,,
cshq17p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 17 was a problem",,,,,,,,,,,
cshq18_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 18:<br><br>Child talks during sleep (13) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 18",,,,,,,,,,,
cshq18p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 18 was a problem",,,,,,,,,,,
cshq19_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 19:<br><br>Child is restless and moves a lot during sleep (14) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 19",,,,,,,,,,,
cshq19p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 19 was a problem",,,,,,,,,,,
cshq20_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 20: <br><br>Child sleepwalks during the night (15) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 20",,,,,,,,,,,
cshq20p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 20 was a problem",,,,,,,,,,,
cshq21_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 21: <br><br>Child moves to someone else's bed during the night (parent, brother, sister, etc.) (16) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 21",,,,,,,,,,,
cshq21p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 21 was a problem",,,,,,,,,,,
cshq22_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 22: <br><br>Child reports body pains during sleep<br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 22",,,,,,,,,,,
cshq22p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 22 was a problem",,,,,,,,,,,
cshq23_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 23: <br><br>Child grinds teeth during sleep (your dentist may have told you this) (17) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 23",,,,,,,,,,,
cshq23p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 23 was a problem",,,,,,,,,,,
cshq24_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 24: <br><br>Child snores loudly (18) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 24",,,,,,,,,,,
cshq24p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 24 was a problem",,,,,,,,,,,
cshq25_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 25:<br><br>Child seems to stop breathing during sleep (19) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 25",,,,,,,,,,,
cshq25p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 25 was a problem",,,,,,,,,,,
cshq26_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 26:<br><br>Child snorts and/or gasps during sleep (20) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 26",,,,,,,,,,,
cshq26p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 26 was a problem",,,,,,,,,,,
cshq27_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 27: <br><br>Child has trouble sleeping away from home (visiting relatives, vacation) (21) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 27",,,,,,,,,,,
cshq27p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 27 was a problem",,,,,,,,,,,
cshq28_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 28:<br><br>Child complains about problems sleeping<br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 28",,,,,,,,,,,
cshq28p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 28 was a problem",,,,,,,,,,,
cshq29_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 29: <br><br>Child awakens during night screaming, sweating, and inconsolable (22) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 29",,,,,,,,,,,
cshq29p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 29 was a problem",,,,,,,,,,,
cshq30_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 30: <br><br>Child awakens alarmed by a frightening dream (23) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 30",,,,,,,,,,,
cshq30p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 30 was a problem",,,,,,,,,,,
cshq31_b,childs_sleep_habits_questionnaire_cshq,"WAKING DURING THE NIGHT",dropdown,"Item 31: <br><br>Child awakes once during the night (24) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 31",,,,,,,,,,,
cshq31p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 31 was a problem",,,,,,,,,,,
cshq32_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 32: <br><br>Child awakes more than once during the night (25) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 32",,,,,,,,,,,
cshq32p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 32 was a problem",,,,,,,,,,,
cshq33_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 33: <br><br>Child returns to sleep without help after waking <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 33",,,,,,,,,,,
cshq33p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 33 was a problem",,,,,,,,,,,
cshq_wakemin_b,childs_sleep_habits_questionnaire_cshq,,text,"Number of minutes a night waking usually lasts",,,integer,,,,,,,,,,
cshq_timewake_b,childs_sleep_habits_questionnaire_cshq,"MORNING WAKING",text,"Time of day child usually wakes in the morning",,"(Ex: 8:00 am = 0800)",time,0,2400,,,,,,,,
cshq34_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 34: <br><br>Child wakes up by him/herself (26) (R) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 34",,,,,,,,,,,
cshq34p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 34 was a problem",,,,,,,,,,,
cshq35_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 35: <br><br>Child wakes up with alarm clock<br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 35",,,,,,,,,,,
cshq35p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 35 was a problem",,,,,,,,,,,
cshq36_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 36: <br><br>Child wakes up in negative mood (27) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 36",,,,,,,,,,,
cshq36p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 36 was a problem",,,,,,,,,,,
cshq37_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 37: <br><br>Adults or siblings wake up child (28) <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 37",,,,,,,,,,,
cshq37p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 37 was a problem",,,,,,,,,,,
cshq38_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 38:<br><br>Child has difficulty getting out of bed in the morning (29) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 38",,,,,,,,,,,
cshq38p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 38 was a problem",,,,,,,,,,,
cshq39_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 39: <br><br>Child takes a long time to become alert in the morning (30) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 39",,,,,,,,,,,
cshq39p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 39 was a problem",,,,,,,,,,,
cshq40_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 40: <br><br>Child wakes up very early in the morning <br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 40",,,,,,,,,,,
cshq40p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 40 was a problem",,,,,,,,,,,
cshq41_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 41: <br><br>Child has a good appetite in the morning<br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 41",,,,,,,,,,,
cshq41p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 41 was a problem",,,,,,,,,,,
cshq42_b,childs_sleep_habits_questionnaire_cshq,"DAYTIME SLEEPINESS",dropdown,"Item 42: <br><br>Child naps during the day<br><br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 42",,,,,,,,,,,
cshq42p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 42 was a problem",,,,,,,,,,,
cshq43_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 43: <br><br>Child suddenly falls asleep in the middle of active behavior <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 43",,,,,,,,,,,
cshq43p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 43 was a problem",,,,,,,,,,,
cshq44_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 44:<br><br>Child seems tired (31) <br>","3, Usually (5-7) | 2, Sometimes (2-4) | 1, Rarely (0-1)","Frequency that parent endorsed for item 44",,,,,,,,,,,
cshq44p_b,childs_sleep_habits_questionnaire_cshq,,dropdown,Problem?,"0, yes | 1, no | 2, N/A | 3, not entered","Parent indicated item 44 was a problem",,,,,,,,,,,
cshq45_b,childs_sleep_habits_questionnaire_cshq,"During the past week, your child has appeared very sleepy or fallen asleep during the following (check all that apply):",dropdown,"Item 45: <br><br>Play alone<br><br>","1, Not Sleepy | 2, Very Sleepy | 3, Falls Asleep","Response parent endorsed for item 45",,,,,,,,,,,
cshq46_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 46: <br><br>Watching TV (32) <br>","0, Not checked/not chosen | 1, Very Sleepy | 2, Falls Asleep","Response parent endorsed for item 46",,,,,,,,,,,
cshq47_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 47:<br><br>Riding in car (33) <br>","0, Not checked/not chosen | 1, Very Sleepy | 2, Falls Asleep","Response parent endorsed for item 47",,,,,,,,,,,
cshq48_b,childs_sleep_habits_questionnaire_cshq,,dropdown,"Item 48: <br><br>Eating meals<br>","1, Not Sleepy | 2, Very Sleepy | 3, Falls Asleep","Response parent endorsed for item 48",,,,,,,,,,,
cshq_spub,childs_sleep_habits_questionnaire_cshq,"SLEEP, Vol. 23, No. 8, 2000 3 Children's Sleep Habits Questionnaire (CSHQ)--Owens et al Subscale Items <br><br><br>1. BEDTIME RESISTANCE <br><br>__Goes to bed at same time_____ITEM 1<br><br> __Falls asleep in own bed_______ITEM 3 <br><br>__Falls asleep in other's bed_____ITEM 4<br><br> __Needs parent in room to sleep__ITEM 7 <br><br>__Struggles at bedtime_________ ITEM 10<br><br> __Afraid of sleeping alone_______ ITEM 12<br><br><br>2. SLEEP ONSET DELAY <br><br>__Falls asleep in 20 minutes_____ITEM 2 <br><br><br>3. SLEEP DURATION <br><br>__Sleeps too little______________ITEM 13 <br><br>__Sleeps the right amount_______ITEM 15<br><br> __Sleeps same amount each day_ITEM 16<br><br><br>4. SLEEP ANXIETY <br><br>__Needs parent in room to sleep__ITEM 7 <br><br>__Afraid of sleeping in the dark___ITEM 11<br><br> __Afraid of sleeping alone_______ITEM 12<br><br> __Trouble sleeping away________ITEM 27<br><br><br>5. NIGHT WAKINGS <br><br>__Moves to other's bed in night___ITEM 21<br><br>__Awakes once during night_____ITEM 31 <br><br>__Awakes more than once______ITEM 32 <br><br><br>6. PARASOMNIAS <br><br>__Wets the bed at night________ITEM 17 <br><br><br>__Talks during sleep___________ITEM 18<br><br><br> __Restless and moves a lot_____ITEM 19 <br><br><br>__Sleepwalks_________________ITEM 20 <br><br>__Grinds teeth during sleep_____ITEM 23 <br><br>__Awakens screaming, sweating_ITEM 29 <br><br>__Alarmed by scary dream______ITEM 30 <br><br><br>7. SLEEP DISORDERED BREATHING <br><br>__Snores loudly______ITEM 24 <br><br>__Stops breathing____ITEM 25 <br><br>__Snorts and gasps___ITEM 26 <br><br><br>8. DAYTIME SLEEPINESS <br><br>__Wakes by himself__________ITEM 34<br><br>__Wakes up in negative mood__ITEM 36<br><br>__Others wake child__________ITEM 37 <br><br>__Hard time getting out of bed__ITEM 38 <br><br>__Takes long time to be alert___ITEM 39 <br><br>__Seems tired_______________ITEM 44 <br><br>__Watching TV______________ITEM 46 <br><br>__Riding in Car______________ITEM 47<br><br>",descriptive,"Sleep Journal Publication",,,,,,,,,,,,,
cshq_sscanned,childs_sleep_habits_questionnaire_cshq,,descriptive,"Numbered survey form example",,,,,,,,,,,,,
cshq_sscanned2,childs_sleep_habits_questionnaire_cshq,,file,"Scan the source document form and upload.",,,,,,,,,,,,,
cshq_scoring_instr,childs_sleep_habits_questionnaire_cshq,,descriptive,"Scoring instructions",,,,,,,,,,,,,
